Skew,Kurtosis,b,c,d,_RHS_
0,9.1,-1.57806,1.60E-15,0.299496,2.74E-23
0,9.2,-1.57822,-8.20E-16,0.299966,3.73E-23
0,9.3,0.564835,-3.20E-11,0.128195,8.83E-19
0,9.4,0.562197,-2.40E-11,0.128887,5.69E-19
0,9.5,0.559574,-9.90E-12,0.129574,1.76E-19
0,9.6,0.556967,-8.80E-13,0.130256,8.70E-20
0,9.7,0.554374,-1.20E-12,0.130933,6.76E-20
0,9.8,0.551796,-3.80E-17,0.131606,6.79E-23
0,9.9,0.549232,-4.20E-17,0.132274,8.51E-23
0,10,0.546682,-4.80E-17,0.132938,1.06E-22
0,10.1,0.544147,-5.30E-17,0.133598,1.33E-22
0,10.2,0.541624,-5.90E-17,0.134253,1.66E-22
0,10.3,0.539116,-2.50E-20,0.134903,4.08E-28
0,10.4,0.53662,2.58E-16,0.13555,1.44E-22
0,10.5,0.534138,1.99E-16,0.136192,6.99E-23
0,10.6,-1.57999,-3.20E-14,0.306174,9.96E-19
0,10.7,-1.58009,-5.30E-14,0.306594,2.90E-18
0,10.8,-1.58017,-1.40E-14,0.30701,3.48E-19
0,10.9,-1.58026,-4.10E-14,0.307424,3.21E-18
0,11,0.521915,-5.40E-10,0.139344,5.15E-17
0,11.1,0.519507,-1.30E-12,0.139963,1.66E-18
0,11.2,0.517111,7.84E-12,0.140578,1.10E-20
0,11.3,0.514726,-3.00E-10,0.141189,1.78E-17
0,11.4,0.512353,-1.10E-13,0.141797,1.54E-17
0,11.5,0.509991,-1.60E-10,0.142401,5.44E-16
0,11.6,0.50764,-8.20E-17,0.143002,2.93E-27
0,11.7,0.5053,-5.70E-18,0.143599,2.67E-25
0,11.8,0.50297,2.31E-15,0.144193,3.10E-23
0,11.9,0.500652,1.67E-14,0.144783,1.20E-21
0,12,0.498344,1.11E-11,0.14537,3.89E-20
0,12.1,0.496046,9.54E-12,0.145954,2.81E-20
0,12.2,0.493758,7.85E-12,0.146535,1.85E-20
0,12.3,0.491481,6.14E-12,0.147112,1.11E-20
0,12.4,0.489214,4.56E-12,0.147686,5.97E-21
0,12.5,0.486956,3.19E-09,0.148258,1.91E-15
0,12.6,0.484708,5.69E-09,0.148826,5.81E-15
0,12.7,0.482469,1.79E-09,0.149391,6.90E-15
0,12.8,0.48024,1.09E-08,0.149953,4.33E-14
0,12.9,0.478021,4.55E-14,0.150512,8.73E-25
0,13,0.47581,9.83E-12,0.151068,1.81E-20
0,13.1,0.473609,-1.80E-11,0.151622,1.70E-17
0,13.2,0.471416,-2.90E-16,0.152172,2.50E-29
0,13.3,0.469233,-2.80E-09,0.15272,1.53E-15
0,13.4,0.467058,1.88E-11,0.153265,1.32E-15
0,13.5,0.464892,-3.30E-10,0.153808,5.53E-16
0,13.6,0.462734,-1.00E-14,0.154347,1.20E-22
0,13.7,0.460585,-8.30E-21,0.154884,3.03E-28
0,13.8,0.458444,-5.90E-09,0.155419,8.28E-15
0,13.9,0.456312,-5.80E-19,0.15595,4.74E-27
0,14,0.454187,-3.40E-17,0.15648,1.26E-20
0,14.1,0.452071,-4.10E-13,0.157006,2.96E-17
0,14.2,0.449962,2.88E-19,0.15753,9.62E-28
0,14.3,0.447861,-1.20E-14,0.158052,2.16E-17
0,14.4,0.445768,-1.50E-14,0.158571,2.98E-17
0,14.5,0.443683,-1.80E-14,0.159088,4.09E-17
0,14.6,0.441606,-2.20E-14,0.159603,5.60E-17
0,14.7,0.439535,-2.70E-14,0.160115,7.65E-17
0,14.8,0.437473,6.15E-20,0.160625,9.17E-26
0,14.9,0.435417,7.64E-20,0.161132,1.11E-25
